accession	annotator_id	csid	date	value	source
PhpapaCp081	cosmoss		2010-09-08 20:09:45	ndhH	gb|NC_005087
PhpapaCp082	cosmoss		2010-09-08 20:09:45	rps15	gb|NC_005087
PhpapaCp083	cosmoss		2010-09-08 20:09:45	ycf1	gb|NC_005087
PhpapaCp084	cosmoss		2010-09-08 20:09:45	chlN	gb|NC_005087
PhpapaCp085	cosmoss		2010-09-08 20:09:45	chlL	gb|NC_005087
Pp1s100_134V6.1	cosmoss		2009-06-30 12:43:30	lax5	cosmoss|V1.2-5_mapping_Phypa_132989
Pp1s100_146V6.1	ohad	243,244,232	2010-09-14 15:06:58	clf
Pp1s100_192V6.1	cosmoss		2009-06-30 12:38:51	hfo1509	cosmoss|V1.2-5_mapping_Phypa_58346
Pp1s100_200V6.1	cosmoss		2009-06-30 12:49:04	hfo1513	cosmoss|V1.2-5_mapping_Phypa_132977
Pp1s100_219V6.1	zimmer	261	2011-09-08 08:46:43	mura2
Pp1s100_222V6.1	cosmoss		2009-06-30 12:40:21	nrt2;1	cosmoss|V1.2-5_mapping_Phypa_187046
Pp1s100_222V6.2	cosmoss		2009-06-30 12:40:21	nrt2;1	cosmoss|V1.2-5_mapping_Phypa_187046
Pp1s100_228V6.1	cosmoss		2009-06-30 12:34:55	nrt2;2	cosmoss|V1.2-5_mapping_Phypa_82118
Pp1s100_231V6.2	student	171	2010-07-14 13:20:20	nar2_3	cosmoss|V1.2-5_mapping_Phypa_441450
Pp1s100_24V6.1	oesterle	360	2012-09-29 23:36:51	pdv2-1
Pp1s101_166V6.1	cosmoss		2009-06-30 12:38:07	snt1503	cosmoss|V1.2-5_mapping_Phypa_187128
Pp1s101_171V6.1	cosmoss		2009-06-30 12:42:44	plc3	cosmoss|V1.2-5_mapping_Phypa_133245
Pp1s101_171V6.2	cosmoss		2009-06-30 12:42:44	plc3	cosmoss|V1.2-5_mapping_Phypa_133245
Pp1s102_71V6.2	gustin		2010-05-08 02:31:35	mtp1	cosmoss|V1.2-5_mapping_Phypa_441713
Pp1s103_13V6.1	cosmoss		2009-06-30 12:42:44	arl8a2	cosmoss|V1.2-5_mapping_Phypa_187270
Pp1s103_62V6.2	cosmoss		2009-06-30 12:34:55	syp7b1	cosmoss|V1.2-5_mapping_Phypa_133406
Pp1s103_92V6.1	oesterle	312	2012-04-29 14:24:59	crl1
Pp1s104_215V6.1	oesterle	327	2012-09-19 21:35:56	myo8B
Pp1s105_137V6.1	cosmoss		2009-06-30 12:50:43	abcc5	cosmoss|V1.2-5_mapping_Phypa_187434
Pp1s105_58V6.1	oesterle	313	2012-08-06 10:58:01	aug4
Pp1s106_79V6.1	gustin		2010-05-08 04:13:55	mtp8.1	cosmoss|V1.2-5_mapping_Phypa_442185
Pp1s109_123V6.1	cosmoss		2009-06-30 12:51:36	wrky11	cosmoss|V1.2-5_mapping_Phypa_19842
Pp1s109_52V6.1	cosmoss	366	2009-06-30 12:52:01	ftsZ1-2	cosmoss|V1.2-5_mapping_Phypa_187670
Pp1s10_103V6.1	lloyd		2010-09-22 15:48:01	upf1b
Pp1s10_107V6.1	cosmoss		2009-06-30 12:43:12	hmta1502	cosmoss|V1.2-5_mapping_Phypa_66302
Pp1s10_179V6.1	lang	69	2009-07-04 12:31:18	elip2.1.1	cosmoss|V1.2-5_mapping_Phypa_114373
Pp1s10_17V6.1	cosmoss		2009-06-30 12:48:46	pina	cosmoss|V1.2-5_mapping_Phypa_202504
Pp1s10_181V6.1	lang	69	2009-07-04 12:45:49	elip2.1.2	cosmoss|V1.2-5_mapping_Phypa_55357
Pp1s10_228V6.1	cosmoss	287	2009-06-30 12:40:49	aldh11d	cosmoss|V1.2-5_mapping_Phypa_114536
Pp1s10_243V6.1	cosmoss		2009-06-30 12:44:00	raba32	cosmoss|V1.2-5_mapping_Phypa_104615
Pp1s10_306V6.1	cosmoss		2009-06-30 12:44:00	epl1501	cosmoss|V1.2-5_mapping_Phypa_202597
Pp1s10_357V6.1	cosmoss		2009-06-30 12:34:36	sar11	cosmoss|V1.2-5_mapping_Phypa_62281
Pp1s10_72V6.3	student	201	2010-07-14 20:06:53	g1l1	cosmoss|V1.2-5_mapping_Phypa_424946
Pp1s110_124V6.1	cosmoss		2009-06-30 12:35:43	ago1504	cosmoss|V1.2-5_mapping_Phypa_134255
